colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	0	0.01	4	3	1000	0.5	0.4683333333333334	0.4652703794139385	0.45797322775263954	0.4519687548000241	0.6327390840059365
0.5	0	0.01	8	1	1000	0.5	0.47089743589743593	0.4666772317236713	0.4560255267608209	0.4518557529020487	0.6304897304312954
0.5	0	0.2	6	3	600	0.5	0.4681410256410256	0.45692211612490247	0.4567615635997989	0.4511471514578932	0.627762033786629
1.0	0	0.2	4	3	1000	0.5	0.4683974358974359	0.4633311096081994	0.4549948580830934	0.4508158686345959	0.6291453763269157
0.5	0	0.01	8	3	600	0.5	0.47102564102564104	0.4609413702912155	0.4541895196306961	0.4504090166616977	0.6495242926538252
0.5	0	0.01	8	3	200	0.5	0.48115384615384615	0.4632020515716168	0.45979118104118105	0.4496300140768926	0.6586547483914232
0.5	0	0.2	6	3	1000	1.0	0.4630769230769231	0.4558689325523691	0.45279691713515247	0.44873955072498006	0.6192928218240958
0.5	0	0.01	8	1	600	0.5	0.47089743589743593	0.4640579676277617	0.45197798116915766	0.4483833181925119	0.6362450074204549
1.0	0	0.2	6	3	1000	1.0	0.46326923076923077	0.45557009167303286	0.4508225353078294	0.4477288306524791	0.6187813625274222
1.0	0	0.2	8	1	600	0.5	0.46314102564102566	0.459431892640097	0.45087772521596053	0.4474769712408319	0.6209883043489516
1.0	0	0.2	8	1	1000	0.5	0.46320512820512827	0.4597585826339697	0.4512223479135244	0.4474485989120664	0.6251487032956602
1.0	0	0.01	6	1	600	0.5	0.4685897435897436	0.46541039856829336	0.45042317976141505	0.44741320912310795	0.6273530172730092
0.5	0	0.2	8	3	1000	0.5	0.4658333333333333	0.4602200226387533	0.4511980666392431	0.4474044211556388	0.6312159379009664
0.5	0	0.2	6	3	1000	0.5	0.4707692307692308	0.4594793875714929	0.4532977398418575	0.44737137059415977	0.6322388358440177
1.0	0	0.2	8	3	1000	0.5	0.4607051282051282	0.4635865514960952	0.4490478883861237	0.4464334258585268	0.6261463491096299
1.0	0	0.2	4	3	600	0.5	0.4658333333333333	0.4555078489908211	0.4526832807715161	0.4453770205255786	0.6281278217155613
0.5	0	0.2	6	1	200	0.5	0.46589743589743593	0.4526636804887579	0.452342371680607	0.4450289895431009	0.6147598347365187
0.5	0	0.01	4	3	600	1.0	0.46564102564102566	0.4543193504520736	0.45106940445175747	0.4449888498380208	0.6055024168319539
1.0	0	0.01	6	3	1000	0.5	0.4633333333333334	0.4505934373504033	0.4526865373188903	0.444910638619832	0.6352476095265456
1.0	0	0.2	4	1	1000	0.5	0.46826923076923077	0.4504000248117895	0.4526635129576306	0.4436705494376783	0.6209522494817291
0.5	0	0.2	8	3	600	0.5	0.4606410256410256	0.4533952972265666	0.44763471822295353	0.4434255597359796	0.6318397079135121
1.0	0	0.2	8	3	600	0.5	0.4607692307692307	0.45689285316220296	0.44762014945838474	0.4433317558523548	0.6224685866339681
1.0	0	0.2	6	3	600	0.5	0.4607051282051282	0.4556855262041021	0.44812051510580914	0.4432530807067181	0.6234633307436593
